,vintage,dependents,branch_code,days_since_last_transaction,current_balance,previous_month_end_balance,average_monthly_balance_prevQ,average_monthly_balance_prevQ2,current_month_credit,previous_month_credit,current_month_debit,previous_month_debit,current_month_balance,previous_month_balance,customer_id,gender,occupation,customer_nw_category,age,city,churn
5191,1331.0,0.0,314.0,18.0,8568.55,7959.53,8735.99,8539.67,1015.83,1212.03,786.84,1599.59,8748.82,8137.93,5527.0,Male,self_employed,3.0,29.0,409.0,0
5193,1151.0,0.0,539.0,31.0,1210.0,1238.57,1438.96,1944.55,0.06,0.06,0.06,285.77,1213.94,1472.67,5529.0,Male,salaried,2.0,40.0,1232.0,0
5196,3205.0,1.0,256.0,126.0,979.1,3058.96,3013.3,2824.59,0.6,0.6,2000.6,714.89,1928.98,3221.75,5532.0,Male,self_employed,2.0,33.0,1158.0,0
5197,814.0,0.0,1098.0,3.0,3645.46,3198.65,2957.24,2978.96,643.14,661.71,0.29,0.29,3306.66,2753.81,5533.0,Female,self_employed,2.0,33.0,575.0,1
5200,432.0,0.0,210.0,53.0,666.8,666.8,1560.93,2450.01,0.47,20012.77,0.47,0.47,666.8,1632.56,5536.0,Male,self_employed,3.0,54.0,639.0,0
5201,609.0,0.0,755.0,31.0,1742.58,3941.86,3749.18,3987.67,0.7,0.7,2199.99,0.7,3325.56,3941.86,5537.0,Female,self_employed,2.0,31.0,187.0,1
5202,3085.0,0.0,401.0,17.0,5191.42,5079.7,5007.21,4565.45,40.66,1932.39,143.21,1714.64,5247.09,4935.88,5538.0,Female,self_employed,2.0,68.0,822.0,0
5203,5270.0,0.0,19.0,53.0,2420.43,17402.96,12309.86,2842.93,0.54,17.69,417.47,192.72,14527.15,16655.25,5539.0,Male,salaried,2.0,47.0,1020.0,1
5204,2954.0,0.0,1362.0,76.0,2355.58,2355.58,2227.11,1588.95,0.3,0.3,0.3,0.3,2355.58,2355.58,5540.0,Male,self_employed,2.0,35.0,617.0,0
5206,4451.0,0.0,19.0,0.0,20869.11,18970.75,48977.43,52500.67,13077.03,13082.89,11170.29,13445.51,14766.57,12659.89,5542.0,Male,salaried,1.0,67.0,1020.0,1
5215,986.0,0.0,139.0,18.0,7427.3,7205.87,5568.36,2927.96,221.93,4507.64,0.5,0.5,7350.94,3387.44,5551.0,Female,student,2.0,22.0,1096.0,0
5216,1394.0,0.0,625.0,11.0,5432.0,4869.06,5040.91,3661.66,636.23,118.8,0.23,296.33,5060.81,5090.7,5552.0,Male,salaried,3.0,31.0,1020.0,0
5217,1367.0,0.0,162.0,33.0,433.71,1499.22,2863.91,8547.11,0.57,714.86,1050.57,3857.71,918.77,2875.8,5553.0,Male,self_employed,2.0,55.0,1274.0,1
5219,3201.0,0.0,521.0,151.0,2601.83,2843.63,2873.41,3154.48,0.21,0.21,242.01,78.71,2786.11,2912.0,5555.0,Female,salaried,3.0,33.0,623.0,0
5221,6542.0,0.0,15.0,0.0,3551.02,3529.67,3501.42,3396.97,21.53,57.83,0.19,0.19,3530.41,3503.59,5557.0,Male,retired,2.0,89.0,1020.0,0
5223,1109.0,0.0,272.0,236.0,1047.63,1230.49,1513.44,2401.52,0.3,0.3,183.16,0.3,1060.24,1230.49,5560.0,Male,self_employed,2.0,41.0,409.0,1
5227,4193.0,0.0,288.0,24.0,1349.4,916.94,4525.66,5214.76,357.21,452.48,330.47,7842.93,1025.77,3472.67,5564.0,Male,salaried,2.0,39.0,1020.0,1
5229,2124.0,0.0,16.0,6.0,613.34,2328.15,1759.91,1950.44,409.6,0.66,2083.51,0.66,621.42,2328.15,5566.0,Male,self_employed,1.0,90.0,1020.0,1
5230,2697.0,2.0,216.0,24.0,912.19,720.79,1547.42,4519.51,4285.94,0.23,4085.65,151.37,3084.88,847.47,5567.0,Male,self_employed,2.0,59.0,513.0,0
5232,1665.0,0.0,1354.0,12.0,3834.44,2995.75,3256.27,3620.04,906.94,725.34,143.29,114.71,3335.89,3044.93,5569.0,Female,salaried,2.0,54.0,318.0,0
5233,4102.0,0.0,578.0,102.0,3673.34,3677.75,3477.44,3388.56,0.49,0.49,6.04,47.7,3675.09,3509.69,5572.0,Male,salaried,2.0,33.0,834.0,0
5234,2755.0,0.0,907.0,31.0,15019.24,15019.24,15019.24,14924.1,0.64,0.64,0.64,0.64,15019.24,15019.24,5573.0,Male,student,1.0,27.0,1420.0,0
5236,2581.0,0.0,518.0,100.0,3873.11,6426.32,7305.58,1898.98,0.49,0.49,2910.84,1486.2,6226.39,6854.62,5575.0,Female,self_employed,2.0,36.0,759.0,1
5237,3271.0,0.0,1662.0,26.0,920.88,304.17,2805.81,4931.45,786.3,0.59,169.59,6012.44,875.71,419.43,5576.0,Male,retired,3.0,62.0,1096.0,1
5238,2778.0,0.0,2157.0,48.0,5732.32,6589.46,6069.64,6399.7,0.51,2400.51,0.51,1429.09,5732.32,6536.0,5577.0,Female,self_employed,2.0,39.0,970.0,0
5239,1461.0,0.0,1629.0,7.0,5989.12,6253.89,3761.0,8810.13,1.22,7143.26,679.46,402.33,6250.08,3925.78,5578.0,Female,self_employed,1.0,42.0,623.0,0
5241,454.0,0.0,2448.0,194.0,5140.18,6065.68,5126.63,2953.08,0.7,0.7,0.7,0.7,5619.43,6205.28,5580.0,Female,self_employed,2.0,58.0,1295.0,0
5244,1433.0,0.0,1672.0,31.0,11540.36,11540.36,10111.25,9602.7,0.49,838.89,0.49,0.49,11540.36,10783.1,5583.0,Male,salaried,2.0,58.0,409.0,0
5249,3685.0,0.0,9.0,300.0,5867.98,5867.98,5914.8,5769.63,0.43,0.43,0.43,86.14,5867.98,5922.26,5588.0,Female,self_employed,1.0,53.0,146.0,0
5250,728.0,0.0,3020.0,0.0,1992.67,1992.67,1909.74,1194.85,8571.46,11428.6,8571.46,11560.74,1992.67,2103.5,5589.0,Female,self_employed,2.0,60.0,15.0,0
5253,2589.0,0.0,42.0,31.0,3853.34,3853.34,3853.34,3826.4,0.39,0.39,0.39,0.39,3853.34,3853.34,5592.0,Female,self_employed,2.0,59.0,623.0,0
5256,705.0,0.0,759.0,95.0,3097.98,2345.29,1672.12,6054.79,0.06,0.06,0.06,0.06,2452.84,1669.89,5596.0,Male,retired,2.0,74.0,413.0,0
5258,1578.0,0.0,1434.0,97.0,5750.86,6322.29,7599.2,2151.82,0.43,0.43,0.43,157.57,6263.17,6322.29,5598.0,Male,self_employed,3.0,55.0,762.0,0
5259,2685.0,0.0,565.0,31.0,1722.31,1722.31,1722.31,1711.4,0.34,0.34,0.34,0.34,1722.31,1722.31,5599.0,Female,self_employed,2.0,44.0,680.0,1
5260,470.0,0.0,13.0,26.0,1866.95,1466.95,1542.16,1546.7,714.54,0.26,743.11,0.26,1692.57,1466.95,5600.0,Male,self_employed,3.0,48.0,1020.0,0
5261,1868.0,0.0,1733.0,12.0,2518.05,1405.25,2022.3,2801.03,24294.99,2257.59,22869.78,1070.41,3144.26,1591.23,5601.0,Male,self_employed,2.0,62.0,491.0,0
5262,2895.0,0.0,340.0,44.0,5213.98,5071.12,4918.05,5043.2,0.69,243.05,0.69,0.69,5051.42,4910.07,5602.0,Female,student,2.0,18.0,656.0,0
5264,1444.0,0.0,2327.0,168.0,6773.84,7559.55,7387.96,7477.16,0.34,0.34,786.06,0.34,7044.78,7559.55,5604.0,Female,self_employed,2.0,29.0,1299.0,0
5265,4308.0,0.0,186.0,77.0,1149.29,1225.39,1554.29,2870.81,0.44,0.44,76.54,318.77,1179.59,1462.39,5605.0,Female,self_employed,2.0,48.0,1181.0,1
5267,998.0,0.0,2071.0,11.0,949.53,914.27,1878.46,920.26,205.71,722.0,286.03,11414.73,977.74,2826.05,5607.0,Female,self_employed,1.0,42.0,1096.0,1
5268,196.0,0.0,1822.0,101.0,1434.14,1434.14,1447.97,661.67,0.4,0.4,0.4,0.4,1434.14,1434.14,5608.0,Male,self_employed,3.0,39.0,61.0,0
5269,6668.0,0.0,26.0,0.0,3586.24,3279.03,2714.87,2853.29,257.46,2828.89,322.6,1618.69,3578.44,2788.47,5609.0,Male,retired,3.0,86.0,1096.0,0
5271,1990.0,0.0,927.0,242.0,2871.26,2871.26,2908.13,2909.44,0.37,0.37,0.37,57.51,2871.26,2924.72,5611.0,Male,salaried,2.0,58.0,377.0,0
5272,1777.0,0.0,1669.0,20.0,3730.36,3372.33,3403.34,2896.33,1123.3,718.54,0.69,0.69,3765.74,3224.61,5613.0,Female,self_employed,3.0,41.0,1096.0,0
5273,1827.0,0.0,815.0,31.0,494.56,3264.16,2944.41,3513.99,0.59,0.59,2772.01,0.59,2309.26,3262.8,5614.0,Female,self_employed,2.0,61.0,1577.0,0
5277,4048.0,1.0,102.0,119.0,4251.02,7270.39,9110.57,41159.16,0.31,0.31,3911.24,3826.39,5737.02,8553.11,5618.0,Male,self_employed,2.0,59.0,1046.0,1
5278,4325.0,0.0,540.0,28.0,10785.53,7984.43,8732.51,7261.08,1006.69,1901.26,438.31,574.4,10425.25,8237.58,5619.0,Female,salaried,3.0,30.0,1084.0,0
5279,1896.0,0.0,1389.0,31.0,1162.97,1162.97,1854.21,2575.06,0.03,0.03,0.03,1428.6,1162.97,1808.13,5620.0,Male,self_employed,3.0,70.0,1199.0,1
5280,1917.0,0.0,134.0,256.0,5336.34,6109.24,6239.59,9170.99,0.16,0.16,630.13,354.53,5702.67,6308.55,5621.0,Female,salaried,3.0,43.0,1096.0,0
5281,4781.0,0.0,13.0,17.0,1686.25,893.22,1823.99,2264.08,2507.99,1429.24,0.67,2500.67,2734.95,1503.82,5622.0,Male,salaried,3.0,43.0,1020.0,0
5283,596.0,0.0,81.0,28.0,1826.58,1333.03,15567.41,35571.88,423.07,452.37,114.74,2325.97,1780.58,2145.93,5624.0,Female,self_employed,3.0,48.0,623.0,1
5284,2329.0,2.0,476.0,30.0,15514.86,24.65,7449.51,150.23,0.49,1.18,12396.79,14432.41,15255.76,5658.38,5625.0,Male,self_employed,3.0,28.0,61.0,0
5285,1494.0,0.0,312.0,39.0,3656.69,3740.1,3579.45,3202.53,0.21,354.31,12.2,25.86,3678.45,3560.5,5626.0,Female,salaried,2.0,42.0,146.0,0
5286,4172.0,0.0,318.0,13.0,5124.78,5124.75,5124.75,5092.28,0.43,0.4,0.4,0.4,5124.76,5124.75,5627.0,Male,self_employed,2.0,39.0,623.0,0
5288,1735.0,0.0,1792.0,31.0,2456.13,2456.13,2456.13,2440.57,0.04,0.04,0.04,0.04,2456.13,2456.13,5629.0,Female,self_employed,2.0,60.0,1232.0,0
5289,4527.0,0.0,178.0,53.0,4084.39,4082.86,5475.09,3602.19,0.06,5428.63,0.06,8492.24,4083.6,6576.31,5630.0,Male,self_employed,2.0,39.0,1348.0,0
5290,1934.0,0.0,1436.0,31.0,1677.77,1677.77,1677.77,1667.14,0.14,0.14,0.14,0.14,1677.77,1677.77,5631.0,Male,retired,2.0,77.0,1020.0,0
5294,2329.0,0.0,415.0,0.0,8101.97,7516.25,7812.9,3769.22,1285.73,0.01,1057.16,500.01,7688.67,7683.53,5635.0,Female,student,1.0,27.0,1477.0,0
5295,5540.0,0.0,54.0,0.0,1767.76,1381.48,2244.56,2661.11,512.56,787.2,0.34,0.34,1531.91,890.26,5637.0,Female,self_employed,2.0,47.0,649.0,0
5298,1775.0,1.0,569.0,0.0,420.73,16135.02,12730.91,1867.18,7143.04,0.19,15714.47,43.93,5839.45,16174.53,5641.0,Male,self_employed,2.0,33.0,665.0,1
5299,1121.0,0.0,2398.0,11.0,1215.08,11464.17,4927.87,1024.82,3471.81,12377.17,14357.53,1697.47,4537.36,9887.71,5643.0,Male,salaried,3.0,44.0,623.0,1
5301,2798.0,0.0,862.0,18.0,1616.31,906.31,1796.46,11023.61,812.39,2279.6,102.39,3664.97,1336.41,1774.15,5645.0,Male,self_employed,3.0,34.0,489.0,0
5302,4325.0,0.0,277.0,17.0,3382.31,3742.51,3638.09,9142.01,943.37,3976.47,3054.06,3321.95,4286.18,3591.4,5646.0,Male,retired,3.0,75.0,1020.0,0
5304,1762.0,0.0,2219.0,42.0,1667.5,1661.2,1544.91,2377.65,0.51,214.8,0.51,0.51,1666.09,1543.59,5648.0,Male,retired,3.0,87.0,751.0,1
5305,3139.0,0.0,272.0,68.0,8131.76,1229.05,3356.86,7008.45,0.66,0.66,240.8,891.81,6163.04,1818.28,5649.0,Male,salaried,3.0,41.0,409.0,0
5310,2019.0,0.0,1901.0,17.0,725.02,719.16,2446.08,2179.85,6.15,559.27,0.3,4857.44,722.8,2611.95,5654.0,Male,salaried,2.0,57.0,550.0,0
5311,389.0,0.0,1754.0,31.0,14342.82,13475.79,12113.49,14407.34,0.36,0.36,0.36,0.36,11870.74,12115.66,5655.0,Male,self_employed,2.0,67.0,146.0,0
5313,2442.0,0.0,13.0,6.0,4046.55,10094.52,7041.55,3761.88,1147.89,3544.79,38.71,474.4,6980.47,8172.43,5657.0,Male,self_employed,2.0,87.0,1020.0,0
5315,2222.0,0.0,1585.0,31.0,2162.85,2162.85,2162.85,2149.15,0.43,0.43,0.43,0.43,2162.85,2162.85,5659.0,Female,student,2.0,17.0,649.0,0
5319,5022.0,0.0,23.0,255.0,1658.85,1658.85,1662.06,1726.18,0.63,0.63,0.63,0.63,1658.85,1658.85,5663.0,Male,retired,3.0,73.0,834.0,0
5321,4643.0,0.0,331.0,0.0,4671.02,4728.74,4600.22,4398.68,331.33,228.04,414.59,271.87,4533.61,4604.73,5666.0,Female,salaried,3.0,63.0,1320.0,0
5322,2399.0,0.0,1880.0,8.0,2174.03,9083.04,2386.34,1517.05,177.76,7367.4,7589.63,22.88,3270.44,2625.5,5667.0,Female,self_employed,2.0,38.0,334.0,0
5325,2181.0,0.0,1470.0,26.0,3884.64,3784.64,3653.93,2796.38,143.03,500.17,0.17,0.17,3895.48,3746.4,5670.0,Female,self_employed,2.0,57.0,1294.0,0
5326,6180.0,0.0,6.0,6.0,2813.7,3104.67,1899.05,1137.3,31.18,3530.39,328.96,871.81,3033.89,2122.59,5671.0,Male,self_employed,2.0,70.0,15.0,0
5328,703.0,0.0,120.0,32.0,1455.4,1863.92,1773.22,2030.63,0.64,314.93,409.17,121.03,1637.24,1624.82,5673.0,Male,salaried,3.0,50.0,409.0,0
5329,225.0,0.0,2245.0,40.0,7198.5,27663.03,13789.38,4921.26,0.36,20000.36,12464.4,4482.61,11567.87,19341.36,5674.0,Male,self_employed,2.0,48.0,1323.0,0
5331,819.0,0.0,3238.0,10.0,5878.51,5949.93,5696.11,4283.92,286.19,357.61,0.47,0.47,6075.55,5737.95,5676.0,Male,salaried,2.0,33.0,1154.0,0
5332,1685.0,0.0,2054.0,31.0,957.95,2576.94,2208.98,1299.59,0.46,0.46,2555.16,53.76,1388.66,2608.04,5677.0,Female,self_employed,3.0,31.0,1232.0,0
5333,3110.0,2.0,3717.0,33.0,1724.85,3173.46,1450.93,1575.05,0.69,6026.69,311.54,3159.21,2490.17,1547.01,5678.0,Male,salaried,2.0,46.0,1096.0,0
5336,5581.0,0.0,74.0,25.0,5068.22,4664.02,4702.08,7073.82,286.2,0.49,0.49,86.2,4987.95,4747.91,5681.0,Male,retired,2.0,60.0,1439.0,0
5337,2254.0,0.0,1264.0,0.0,2007.54,1786.91,1506.7,3561.41,1139.81,1218.93,645.41,2240.06,950.18,1393.57,5682.0,Female,salaried,2.0,30.0,575.0,0
5339,2098.0,0.0,202.0,105.0,1780.18,1723.04,1719.93,1421.82,0.09,0.09,0.09,0.09,1778.21,1723.04,5684.0,Female,student,3.0,13.0,834.0,0
5341,537.0,0.0,589.0,31.0,1968.78,1968.78,2632.37,5398.85,0.29,0.29,0.29,1143.14,1968.78,2291.36,5687.0,Male,student,2.0,23.0,575.0,0
5342,533.0,0.0,2913.0,11.0,5438.88,7944.44,4690.34,2288.84,571.46,0.03,3560.17,923.89,6998.26,5184.34,5688.0,Male,salaried,3.0,40.0,843.0,0
5345,2455.0,0.0,493.0,47.0,5155.93,5153.36,2867.4,289.82,0.61,4827.64,0.61,0.61,5154.69,3128.51,5692.0,Male,self_employed,2.0,42.0,334.0,0
5347,292.0,0.0,227.0,7.0,16553.79,5839.5,14250.5,15751.07,10714.44,23327.09,0.16,37220.66,8425.71,16759.26,5694.0,Female,self_employed,2.0,73.0,1020.0,1
5348,492.0,3.0,270.0,5.0,32441.77,191.84,4285.57,4229.28,40000.01,28434.91,9085.19,28786.03,6367.32,2587.32,5695.0,Male,self_employed,3.0,43.0,743.0,0
5350,2846.0,0.0,225.0,7.0,6791.45,5703.88,6094.45,6545.79,189.18,644.53,13.24,744.53,6662.16,5588.48,5697.0,Female,self_employed,2.0,79.0,1096.0,0
5352,977.0,0.0,1625.0,90.0,1490.63,1547.57,1872.88,2960.0,0.36,0.36,8.93,20.1,1537.95,1489.61,5699.0,Male,salaried,3.0,31.0,623.0,0
5354,2295.0,0.0,1231.0,13.0,550.2,685.83,1656.73,374.32,4284.01,2069.73,33048.21,5229.91,2077.86,1574.66,5701.0,Male,self_employed,2.0,34.0,834.0,1
5355,2483.0,2.0,287.0,49.0,21521.39,693.03,8761.53,1024.55,0.29,857.43,6537.57,359.06,24719.01,679.29,5702.0,Male,self_employed,2.0,47.0,409.0,0
5356,2894.0,0.0,265.0,31.0,1646.31,1646.31,1646.31,1635.88,0.26,0.26,0.26,0.26,1646.31,1646.31,5703.0,Female,salaried,3.0,31.0,574.0,0
5358,4028.0,2.0,235.0,138.0,1506.94,1701.96,1834.63,3057.11,0.31,0.31,0.31,0.31,1560.11,1752.95,5705.0,Male,self_employed,3.0,47.0,1181.0,0
5360,929.0,0.0,33.0,18.0,1905.5,1562.36,2382.34,2693.85,250.36,250.36,0.36,2000.36,1812.87,2090.01,5707.0,Female,self_employed,2.0,49.0,1589.0,0
5362,2953.0,2.0,585.0,212.0,2226.06,4652.11,4461.37,5971.1,0.2,0.2,2431.89,194.15,3391.0,4678.15,5709.0,Male,self_employed,3.0,36.0,409.0,1
5363,2998.0,0.0,398.0,0.0,14183.41,14500.19,7912.6,4005.76,31.4,10043.66,153.73,0.53,14311.92,5158.12,5711.0,Male,retired,2.0,73.0,1020.0,0
5364,1488.0,0.0,481.0,52.0,1971.94,1971.94,1934.97,1853.14,0.41,214.99,0.41,100.41,1971.94,1975.6,5712.0,Male,salaried,3.0,37.0,409.0,0
5365,671.0,0.0,159.0,26.0,5512.41,6036.1,6144.3,2715.8,71.87,71.87,352.62,148.04,5743.93,6164.24,5713.0,Female,self_employed,3.0,42.0,1020.0,0
5366,1204.0,3.0,82.0,0.0,1980.26,1737.83,1580.3,566.68,911.83,483.26,1138.69,141.83,1786.0,1590.18,5714.0,Female,self_employed,3.0,57.0,334.0,0
5369,670.0,0.0,308.0,271.0,11756.35,11770.63,11783.83,11772.39,0.26,0.26,0.26,0.26,11770.14,11783.53,5718.0,Female,self_employed,2.0,27.0,960.0,0
5370,1664.0,0.0,42.0,31.0,2332.1,2332.1,2334.26,2322.83,0.44,0.44,0.44,0.44,2332.1,2334.48,5719.0,Male,salaried,3.0,38.0,334.0,0
5373,2984.0,0.0,292.0,265.0,4865.01,3520.59,3986.93,3769.36,0.54,0.54,0.54,0.54,4797.18,3540.62,5722.0,Female,self_employed,2.0,59.0,1096.0,0
5374,7021.0,1.0,52.0,28.0,22486.48,26309.83,25994.26,30747.72,16.6,95.0,3086.36,4004.74,22798.31,27021.72,5723.0,Male,salaried,2.0,64.0,1232.0,0
5375,2470.0,0.0,865.0,31.0,6502.46,7125.7,6443.48,4144.55,0.17,0.17,915.03,285.89,6059.31,6950.58,5724.0,Male,self_employed,2.0,64.0,206.0,0
5378,321.0,0.0,2619.0,194.0,3269.62,3267.13,3265.62,3247.38,0.63,0.63,0.63,0.63,3267.82,3265.58,5727.0,Male,self_employed,3.0,20.0,120.0,0
5379,279.0,0.0,1038.0,38.0,6665.5,6665.5,4832.64,6706.18,0.29,3466.64,0.29,134.44,6665.5,4499.1,5728.0,Female,salaried,2.0,29.0,334.0,0
5380,1035.0,0.0,933.0,0.0,3134.04,4413.69,3973.25,1114.9,2214.33,685.76,1795.76,0.04,4767.47,4001.71,5730.0,Female,self_employed,3.0,29.0,1096.0,0
5382,4444.0,0.0,238.0,14.0,527.79,533.03,1852.99,841.65,138.06,133.3,0.44,0.44,578.6,539.07,5732.0,Male,self_employed,2.0,68.0,983.0,1
5383,2497.0,0.0,6.0,24.0,0.0,6861.92,5670.9,4706.78,516.24,516.24,7469.63,0.31,3998.05,6740.59,5733.0,Female,self_employed,1.0,43.0,15.0,0
5384,594.0,0.0,1596.0,5.0,15217.44,910.38,4162.5,795.5,1450.61,42.54,0.7,0.7,10759.07,882.44,5734.0,Female,self_employed,2.0,70.0,1565.0,0
5385,3573.0,0.0,737.0,28.0,39970.49,39939.59,41879.64,35296.6,4829.23,3819.27,3426.11,767.5,42225.22,42485.55,5735.0,Male,salaried,2.0,45.0,1597.0,0
5388,1188.0,0.0,1765.0,129.0,528.96,3386.1,2794.97,3788.08,0.69,0.69,2857.83,0.69,1612.7,3386.1,5738.0,Male,self_employed,2.0,47.0,334.0,0
5389,1500.0,0.0,85.0,31.0,740.39,9311.82,7870.5,9815.11,0.24,0.24,8571.67,13.07,4829.06,9312.65,5739.0,Male,salaried,2.0,25.0,1020.0,1
5390,4708.0,1.0,538.0,70.0,96.57,854.81,2937.18,3567.15,0.21,0.21,12282.29,23006.79,855.64,3450.51,5740.0,Male,self_employed,1.0,52.0,1020.0,0
5391,1615.0,0.0,22.0,151.0,2291.85,2291.85,2291.85,2152.87,0.54,0.54,0.54,0.54,2291.85,2291.85,5741.0,Female,student,2.0,22.0,834.0,0
5392,2594.0,0.0,380.0,10.0,2550.43,3193.28,3143.02,4356.27,143.19,0.33,714.61,0.33,2927.27,3216.33,5742.0,Male,self_employed,3.0,50.0,34.0,0
5393,3470.0,1.0,1897.0,167.0,2041.07,1732.49,1762.01,1668.19,0.39,0.39,0.39,0.39,1817.62,1732.49,5743.0,Male,salaried,3.0,51.0,1111.0,0
5394,383.0,0.0,409.0,67.0,1793.1,1941.02,1942.76,1702.34,0.16,0.16,0.16,0.16,1917.49,2001.5,5744.0,Male,self_employed,3.0,34.0,44.0,0
5397,2180.0,0.0,16.0,31.0,3950.3,3878.87,3900.22,3854.46,0.64,0.64,0.64,0.64,3942.91,3878.87,5747.0,Male,student,2.0,12.0,1020.0,0
5398,2020.0,1.0,264.0,0.0,9378.71,6427.34,9676.33,6319.35,4614.41,4000.47,1689.5,9670.14,7508.74,9348.23,5749.0,Male,self_employed,2.0,42.0,578.0,0
5403,1326.0,0.0,143.0,12.0,4753.17,4927.32,4553.15,3885.82,3786.09,278.8,3888.81,0.37,4017.67,4935.67,5754.0,Female,student,2.0,19.0,1020.0,0
5404,646.0,3.0,2234.0,48.0,3779.05,5534.19,5487.87,3136.53,0.03,93.76,451.52,402.1,5259.01,5366.69,5755.0,Male,salaried,2.0,27.0,1449.0,0
5405,2088.0,0.0,905.0,14.0,1865.14,1399.97,1452.34,2748.64,286.01,0.3,0.3,0.3,1495.57,1283.09,5756.0,Male,self_employed,3.0,49.0,409.0,0
5407,2382.0,0.0,27.0,24.0,9829.7,8970.52,9205.96,7139.93,2229.09,1929.09,348.8,382.77,9980.16,9234.36,5758.0,Female,self_employed,1.0,28.0,1096.0,0
5408,1253.0,0.0,1482.0,31.0,1918.94,1918.94,1918.94,1978.06,0.59,0.59,0.59,0.59,1918.94,1918.94,5759.0,Male,self_employed,3.0,47.0,536.0,0
5411,1939.0,0.0,1663.0,59.0,1537.27,2105.63,1540.55,86.95,0.2,4285.91,568.56,2271.81,1654.86,2806.66,5762.0,Female,self_employed,3.0,47.0,409.0,0
5412,1706.0,0.0,1999.0,31.0,9246.48,7403.54,9948.41,12439.62,0.2,0.2,490.97,2857.34,8891.1,7551.0,5763.0,Male,salaried,3.0,62.0,628.0,0
5415,2789.0,0.0,619.0,31.0,1951.83,1951.83,1951.83,1939.47,0.3,0.3,0.3,0.3,1951.83,1951.83,5766.0,Female,self_employed,3.0,51.0,491.0,0
5417,1356.0,0.0,1022.0,206.0,5679.83,5679.83,5680.95,5707.31,0.63,0.63,0.63,0.63,5679.83,5679.83,5768.0,Female,self_employed,3.0,69.0,623.0,0
5418,2904.0,0.0,64.0,46.0,1490.7,1534.16,3511.69,2368.38,0.31,5271.74,0.31,7367.76,1509.57,6480.33,5769.0,Female,self_employed,1.0,38.0,1076.0,0
5419,1787.0,0.0,1686.0,276.0,4653.21,4647.99,4653.05,4628.33,0.09,0.09,0.09,14.37,4651.04,4651.97,5771.0,Male,retired,2.0,70.0,224.0,0
5420,1271.0,0.0,1907.0,123.0,1309.98,2168.55,2847.56,2495.8,0.11,0.11,857.26,1285.83,1685.45,2574.08,5772.0,Male,salaried,3.0,51.0,904.0,1
5422,4196.0,0.0,1321.0,17.0,1344.06,912.99,1813.39,1286.33,949.93,1071.8,518.86,1543.23,1392.1,846.17,5774.0,Male,salaried,3.0,55.0,1111.0,0
5423,200.0,0.0,1016.0,205.0,2472.69,5472.69,5474.38,198.79,0.43,0.43,3000.43,0.43,3334.76,5991.0,5775.0,Male,self_employed,3.0,37.0,1061.0,0
5424,3383.0,0.0,279.0,112.0,15490.78,15965.01,15971.49,11807.64,0.11,0.11,474.34,20.26,15942.19,15968.91,5776.0,Male,self_employed,3.0,36.0,491.0,0
5426,2283.0,0.0,1905.0,116.0,1428.93,1428.93,1434.46,1496.49,0.24,0.24,0.24,14.53,1428.93,1431.24,5778.0,Male,self_employed,3.0,30.0,547.0,0
5428,2483.0,2.0,15.0,61.0,100.69,3672.11,2109.63,263.83,0.26,0.26,3571.69,3571.69,1824.82,3791.44,5780.0,Male,self_employed,2.0,49.0,1020.0,1
5429,1593.0,0.0,1218.0,31.0,8376.18,8643.02,8801.25,10378.71,0.29,0.29,143.14,0.29,8411.52,8662.55,5781.0,Male,salaried,1.0,60.0,485.0,0
5430,4084.0,2.0,284.0,31.0,2475.74,2504.31,2527.82,2591.08,0.19,0.19,0.19,0.19,2502.34,2527.57,5782.0,Male,self_employed,1.0,43.0,557.0,0
5431,4280.0,1.0,217.0,12.0,2098.25,2075.39,1721.91,1355.31,23.0,0.14,0.14,0.14,2084.85,1661.26,5783.0,Female,self_employed,1.0,30.0,146.0,0
5432,765.0,2.0,2334.0,32.0,6724.04,4050.32,2975.35,306.25,0.11,657.43,470.83,859.13,4043.81,3985.15,5784.0,Male,salaried,3.0,27.0,363.0,0
5436,1382.0,0.0,920.0,13.0,10001.58,7164.99,3922.78,26761.48,8286.01,0.3,10339.2,1268.8,8779.47,1639.21,5788.0,Male,self_employed,3.0,22.0,804.0,0
5439,4163.0,0.0,328.0,28.0,4790.44,4383.41,4525.72,3108.84,457.17,457.17,46.76,350.53,4811.37,4487.67,5791.0,Female,salaried,3.0,45.0,1096.0,0
5440,2467.0,0.0,62.0,84.0,979.13,979.13,2072.7,1441.94,0.06,0.06,0.06,2677.77,979.13,1487.41,5792.0,Female,salaried,3.0,31.0,241.0,1
5443,1918.0,0.0,1909.0,13.0,838.48,1972.68,2981.13,9.05,143.51,0.66,1392.0,1907.8,1266.7,3065.07,5795.0,Female,salaried,3.0,42.0,917.0,1
5444,2634.0,0.0,967.0,18.0,2069.4,1831.32,1525.56,811.26,714.7,0.41,348.04,504.57,1977.78,2082.17,5796.0,Female,self_employed,3.0,36.0,1020.0,0
5445,2300.0,0.0,641.0,78.0,7537.64,7537.64,7008.13,3412.57,0.46,0.46,0.46,0.46,7537.64,7537.64,5797.0,Female,student,2.0,8.0,574.0,0
5446,1745.0,0.0,1386.0,69.0,3397.19,4453.71,5091.76,9514.41,0.23,0.23,1079.48,2892.54,3985.72,2820.8,5798.0,Female,self_employed,1.0,31.0,1096.0,0
